date,region,product,units,revenue
2025-01-01,West,Gadget,18,9000
2025-01-01,East,Widget,25,5000
2025-01-01,Central,Gizmo,32,9600
2025-01-01,South,Gadget,39,19500
2025-01-02,West,Widget,46,9200
2025-01-02,East,Gizmo,53,15900
2025-01-02,Central,Gadget,60,30000
2025-01-03,South,Widget,24,4800
2025-01-03,West,Gizmo,31,9300
2025-01-03,East,Gadget,38,19000
2025-01-03,Central,Widget,45,9000
2025-01-04,South,Gizmo,52,15600
2025-01-04,West,Gadget,59,29500
2025-01-04,East,Widget,23,4600
2025-01-05,Central,Gizmo,30,9000
2025-01-05,South,Gadget,37,18500
2025-01-05,West,Widget,44,8800
2025-01-06,East,Gizmo,51,15300
2025-01-06,Central,Gadget,58,29000
2025-01-06,South,Widget,22,4400
2025-01-06,West,Gizmo,29,8700
2025-01-07,East,Gadget,36,18000
2025-01-07,Central,Widget,43,8600
2025-01-07,South,Gizmo,50,15000
2025-01-08,West,Gadget,57,28500
2025-01-08,East,Widget,21,4200
2025-01-08,Central,Gizmo,28,8400
2025-01-09,South,Gadget,35,17500
2025-01-09,West,Widget,42,8400
2025-01-09,East,Gizmo,49,14700
2025-01-09,Central,Gadget,56,28000
2025-01-10,South,Widget,20,4000
2025-01-10,West,Gizmo,27,8100
2025-01-10,East,Gadget,34,17000
2025-01-11,Central,Widget,41,8200
2025-01-11,South,Gizmo,48,14400
2025-01-11,West,Gadget,55,27500
2025-01-12,East,Widget,19,3800
2025-01-12,Central,Gizmo,26,7800
2025-01-12,South,Gadget,33,16500
2025-01-12,West,Widget,40,8000
2025-01-13,East,Gizmo,47,14100
2025-01-13,Central,Gadget,54,27000
2025-01-13,South,Widget,18,3600
2025-01-14,West,Gizmo,25,7500
2025-01-14,East,Gadget,32,16000
2025-01-14,Central,Widget,39,7800
2025-01-14,South,Gizmo,46,13800
2025-01-15,West,Gadget,53,26500
2025-01-15,East,Widget,60,12000
2025-01-15,Central,Gizmo,24,7200
2025-01-16,South,Gadget,31,15500
2025-01-16,West,Widget,38,7600
2025-01-16,East,Gizmo,45,13500
2025-01-17,Central,Gadget,52,26000
2025-01-17,South,Widget,59,11800
2025-01-17,West,Gizmo,23,6900
2025-01-17,East,Gadget,30,15000
2025-01-18,Central,Widget,37,7400
2025-01-18,South,Gizmo,44,13200
2025-01-18,West,Gadget,51,25500
2025-01-19,East,Widget,58,11600
2025-01-19,Central,Gizmo,22,6600
2025-01-19,South,Gadget,29,14500
2025-01-20,West,Widget,36,7200
2025-01-20,East,Gizmo,43,12900
2025-01-20,Central,Gadget,50,25000
2025-01-20,South,Widget,57,11400
2025-01-21,West,Gizmo,21,6300
2025-01-21,East,Gadget,28,14000
2025-01-21,Central,Widget,35,7000
2025-01-22,South,Gizmo,42,12600
2025-01-22,West,Gadget,49,24500
2025-01-22,East,Widget,56,11200
2025-01-23,Central,Gizmo,20,6000
2025-01-23,South,Gadget,27,13500
2025-01-23,West,Widget,34,6800
2025-01-23,East,Gizmo,41,12300
2025-01-24,Central,Gadget,48,24000
2025-01-24,South,Widget,55,11000
2025-01-24,West,Gizmo,19,5700
2025-01-25,East,Gadget,26,13000
2025-01-25,Central,Widget,33,6600
2025-01-25,South,Gizmo,40,12000
2025-01-26,West,Gadget,47,23500
2025-01-26,East,Widget,54,10800
2025-01-26,Central,Gizmo,18,5400
2025-01-26,South,Gadget,25,12500
2025-01-27,West,Widget,32,6400
2025-01-27,East,Gizmo,39,11700
2025-01-27,Central,Gadget,46,23000
2025-01-28,South,Widget,53,10600
2025-01-28,West,Gizmo,60,18000
2025-01-28,East,Gadget,24,12000
2025-01-28,Central,Widget,31,6200
2025-01-29,South,Gizmo,38,11400
2025-01-29,West,Gadget,45,22500
2025-01-29,East,Widget,52,10400
2025-01-30,Central,Gizmo,59,17700
2025-01-30,South,Gadget,23,11500
2025-01-30,West,Widget,30,6000
2025-01-31,East,Gizmo,37,11100
2025-01-31,Central,Gadget,44,22000
2025-01-31,South,Widget,51,10200
2025-01-31,West,Gizmo,58,17400
2025-02-01,East,Gadget,22,11000
2025-02-01,Central,Widget,29,5800
2025-02-01,South,Gizmo,36,10800
2025-02-02,West,Gadget,43,21500
2025-02-02,East,Widget,50,10000
2025-02-02,Central,Gizmo,57,17100
2025-02-03,South,Gadget,21,10500
2025-02-03,West,Widget,28,5600
2025-02-03,East,Gizmo,35,10500
2025-02-03,Central,Gadget,42,21000
2025-02-04,South,Widget,49,9800
2025-02-04,West,Gizmo,56,16800
2025-02-04,East,Gadget,20,10000
2025-02-05,Central,Widget,27,5400
2025-02-05,South,Gizmo,34,10200
2025-02-05,West,Gadget,41,20500
2025-02-06,East,Widget,48,9600
2025-02-06,Central,Gizmo,55,16500
2025-02-06,South,Gadget,19,9500
2025-02-06,West,Widget,26,5200
2025-02-07,East,Gizmo,33,9900
2025-02-07,Central,Gadget,40,20000
2025-02-07,South,Widget,47,9400
2025-02-08,West,Gizmo,54,16200
2025-02-08,East,Gadget,18,9000
2025-02-08,Central,Widget,25,5000
2025-02-08,South,Gizmo,32,9600
2025-02-09,West,Gadget,39,19500
2025-02-09,East,Widget,46,9200
2025-02-09,Central,Gizmo,53,15900
2025-02-10,South,Gadget,60,30000
2025-02-10,West,Widget,24,4800
2025-02-10,East,Gizmo,31,9300
2025-02-11,Central,Gadget,38,19000
2025-02-11,South,Widget,45,9000
2025-02-11,West,Gizmo,52,15600
2025-02-11,East,Gadget,59,29500
2025-02-12,Central,Widget,23,4600
2025-02-12,South,Gizmo,30,9000
2025-02-12,West,Gadget,37,18500
2025-02-13,East,Widget,44,8800
2025-02-13,Central,Gizmo,51,15300
2025-02-13,South,Gadget,58,29000
2025-02-14,West,Widget,22,4400
2025-02-14,East,Gizmo,29,8700
2025-02-14,Central,Gadget,36,18000
2025-02-14,South,Widget,43,8600
2025-02-15,West,Gizmo,50,15000
2025-02-15,East,Gadget,57,28500
2025-02-15,Central,Widget,21,4200
2025-02-16,South,Gizmo,28,8400
2025-02-16,West,Gadget,35,17500
2025-02-16,East,Widget,42,8400
2025-02-17,Central,Gizmo,49,14700
2025-02-17,South,Gadget,56,28000
2025-02-17,West,Widget,20,4000
2025-02-17,East,Gizmo,27,8100
2025-02-18,Central,Gadget,34,17000
2025-02-18,South,Widget,41,8200
2025-02-18,West,Gizmo,48,14400
2025-02-19,East,Gadget,55,27500
2025-02-19,Central,Widget,19,3800
2025-02-19,South,Gizmo,26,7800
2025-02-20,West,Gadget,33,16500
2025-02-20,East,Widget,40,8000
2025-02-20,Central,Gizmo,47,14100
2025-02-20,South,Gadget,54,27000
2025-02-21,West,Widget,18,3600
2025-02-21,East,Gizmo,25,7500
2025-02-21,Central,Gadget,32,16000
2025-02-22,South,Widget,39,7800
2025-02-22,West,Gizmo,46,13800
2025-02-22,East,Gadget,53,26500
2025-02-22,Central,Widget,60,12000
2025-02-23,South,Gizmo,24,7200
2025-02-23,West,Gadget,31,15500
2025-02-23,East,Widget,38,7600
2025-02-24,Central,Gizmo,45,13500
2025-02-24,South,Gadget,52,26000
2025-02-24,West,Widget,59,11800
2025-02-25,East,Gizmo,23,6900
2025-02-25,Central,Gadget,30,15000
2025-02-25,South,Widget,37,7400
2025-02-25,West,Gizmo,44,13200
2025-02-26,East,Gadget,51,25500
2025-02-26,Central,Widget,58,11600
2025-02-26,South,Gizmo,22,6600
2025-02-27,West,Gadget,29,14500
2025-02-27,East,Widget,36,7200
2025-02-27,Central,Gizmo,43,12900
2025-02-28,South,Gadget,50,25000
2025-02-28,West,Widget,57,11400
2025-02-28,East,Gizmo,21,6300
2025-02-28,Central,Gadget,28,14000
2025-03-01,South,Widget,35,7000
2025-03-01,West,Gizmo,60,18000
2025-03-01,East,Gadget,53,26500
2025-03-02,Central,Widget,58,11600
2025-03-02,South,Gizmo,20,6000
2025-03-02,West,Gadget,45,22500
2025-03-03,East,Widget,38,7600
2025-03-03,Central,Gizmo,43,12900
2025-03-03,South,Gadget,48,24000
2025-03-03,West,Widget,73,14600
2025-03-04,East,Gizmo,23,6900
2025-03-04,Central,Gadget,28,14000
2025-03-04,South,Widget,33,6600
2025-03-05,West,Gizmo,58,17400
2025-03-05,East,Gadget,51,25500
2025-03-05,Central,Widget,56,11200
2025-03-05,South,Gizmo,18,5400
2025-03-06,West,Gadget,43,21500
2025-03-06,East,Widget,36,7200
2025-03-06,Central,Gizmo,41,12300
2025-03-07,South,Gadget,46,23000
2025-03-07,West,Widget,71,14200
2025-03-07,East,Gizmo,64,19200
2025-03-08,Central,Gadget,26,13000
2025-03-08,South,Widget,31,6200
2025-03-08,West,Gizmo,56,16800
2025-03-08,East,Gadget,49,24500
2025-03-09,Central,Widget,54,10800
2025-03-09,South,Gizmo,59,17700
2025-03-09,West,Gadget,41,20500
2025-03-10,East,Widget,34,6800
2025-03-10,Central,Gizmo,39,11700
2025-03-10,South,Gadget,44,22000
2025-03-11,West,Widget,69,13800
2025-03-11,East,Gizmo,62,18600
2025-03-11,Central,Gadget,24,12000
2025-03-11,South,Widget,29,5800
2025-03-12,West,Gizmo,54,16200
2025-03-12,East,Gadget,47,23500
2025-03-12,Central,Widget,52,10400
2025-03-13,South,Gizmo,57,17100
2025-03-13,West,Gadget,39,19500
2025-03-13,East,Widget,32,6400
2025-03-14,Central,Gizmo,37,11100
2025-03-14,South,Gadget,42,21000
2025-03-14,West,Widget,67,13400
2025-03-14,East,Gizmo,60,18000
2025-03-15,Central,Gadget,22,11000
2025-03-15,South,Widget,27,5400
2025-03-15,West,Gizmo,52,15600
2025-03-16,East,Gadget,45,22500
2025-03-16,Central,Widget,50,10000
2025-03-16,South,Gizmo,55,16500
2025-03-17,West,Gadget,37,18500
2025-03-17,East,Widget,30,6000
2025-03-17,Central,Gizmo,35,10500
2025-03-17,South,Gadget,40,20000
2025-03-18,West,Widget,65,13000
2025-03-18,East,Gizmo,58,17400
2025-03-18,Central,Gadget,20,10000
2025-03-19,South,Widget,25,5000
2025-03-19,West,Gizmo,50,15000
2025-03-19,East,Gadget,43,21500
2025-03-19,Central,Widget,48,9600
2025-03-20,South,Gizmo,53,15900
2025-03-20,West,Gadget,78,39000
2025-03-20,East,Widget,28,5600
2025-03-21,Central,Gizmo,33,9900
2025-03-21,South,Gadget,38,19000
2025-03-21,West,Widget,63,12600
2025-03-22,East,Gizmo,56,16800
2025-03-22,Central,Gadget,61,30500
2025-03-22,South,Widget,23,4600
2025-03-22,West,Gizmo,48,14400
2025-03-23,East,Gadget,41,20500
2025-03-23,Central,Widget,46,9200
2025-03-23,South,Gizmo,51,15300
2025-03-24,West,Gadget,76,38000
2025-03-24,East,Widget,26,5200
2025-03-24,Central,Gizmo,31,9300
2025-03-25,South,Gadget,36,18000
2025-03-25,West,Widget,61,12200
2025-03-25,East,Gizmo,54,16200
2025-03-25,Central,Gadget,59,29500
2025-03-26,South,Widget,21,4200
2025-03-26,West,Gizmo,46,13800
2025-03-26,East,Gadget,39,19500
2025-03-27,Central,Widget,44,8800
2025-03-27,South,Gizmo,49,14700
2025-03-27,West,Gadget,74,37000
2025-03-28,East,Widget,24,4800
2025-03-28,Central,Gizmo,29,8700
2025-03-28,South,Gadget,34,17000
2025-03-28,West,Widget,59,11800
2025-03-29,East,Gizmo,52,15600
2025-03-29,Central,Gadget,57,28500
2025-03-29,South,Widget,19,3800
2025-03-30,West,Gizmo,44,13200
2025-03-30,East,Gadget,37,18500
2025-03-30,Central,Widget,42,8400
2025-03-31,South,Gizmo,47,14100
